Année,Taux_Chomage,MM3,MM5,SES,Holt
1991-01-01,13.502,,,13.530344445587588,13.580510582308023
1992-01-01,13.781,13.769666666666666,,13.504671655212535,13.3779272870938
1993-01-01,14.026,13.888333333333334,13.8442,13.7549541893511,13.577972579167856
1994-01-01,13.858,13.979333333333335,13.8162,14.00045210383043,13.815602336326249
1995-01-01,14.054,13.758000000000001,13.865,13.871427071789393,13.714104599425445
1996-01-01,13.362,13.813666666666668,13.7316,14.036791269851646,13.861330384956098
1997-01-01,14.025,13.581999999999999,13.748,13.42560362942718,13.30691993060473
1998-01-01,13.359,13.774666666666667,13.653199999999998,13.968502848455211,13.77032769431973
1999-01-01,13.94,13.626333333333335,13.472800000000001,13.41644975526503,13.289492049062867
2000-01-01,13.58,13.326666666666668,12.985800000000001,13.89065185748483,13.696406020602675
2001-01-01,12.46,12.543333333333335,12.698,13.60928103327222,13.462140175480949
2002-01-01,11.59,11.99,12.075999999999999,12.568327490609065,12.48735468394379
2003-01-01,11.92,11.446666666666667,11.562000000000001,11.682213965934684,11.600175292628913
2004-01-01,10.83,11.253333333333332,11.004,11.8975870621489,11.730620938709725
2005-01-01,11.01,10.503333333333332,10.597999999999999,10.930627282710843,10.840710789174619
2006-01-01,9.67,10.08,10.128,11.002518585935178,10.845300960380673
2007-01-01,9.56,9.600000000000001,9.754000000000001,9.795598866095709,9.725744080610683
2008-01-01,9.57,9.363333333333335,9.370000000000001,9.582206782514998,9.450229060947443
2009-01-01,8.96,9.206666666666665,9.218,9.571150571600835,9.413419391239207
2010-01-01,9.09,8.986666666666666,9.104000000000001,9.017605064287295,8.89739290644187
2011-01-01,8.91,8.996666666666666,9.036000000000001,9.083176288921925,8.921478035792317
2012-01-01,8.99,9.043333333333333,9.184000000000001,8.926323033504252,8.774937422652334
2013-01-01,9.23,9.306666666666667,9.258,8.983998016333357,8.81779649994679
2014-01-01,9.7,9.463333333333333,9.336000000000002,9.206812653472943,9.025475603173275
2015-01-01,9.46,9.486666666666666,9.382000000000001,9.653513765473614,9.452468567851561
2016-01-01,9.3,9.326666666666668,9.390400000000001,9.478239977868933,9.321820854856055
2017-01-01,9.22,9.264000000000001,9.2886,9.316800320347916,9.166633109081708
2018-01-01,9.272,9.227666666666666,9.634400000000001,9.22912408322235,9.074306214510784
2019-01-01,9.191,9.884,9.8846,9.267958655596306,9.102644081874649
2020-01-01,11.189,10.310333333333334,9.9232,9.19825387246465,9.039569826950835
2021-01-01,10.551,10.384333333333334,9.848,11.001358747606222,10.69966044049919
2022-01-01,9.413,9.62,9.830400000000001,10.593449350149909,10.438428229131391
2023-01-01,8.896,9.137333333333332,,9.524265314740953,9.444172718108197
2024-01-01,9.103,,,8.955218244286888,8.848927542552174
